End Time_D&T,Volume,Cost,Price,Trade Hours Duration
2020-01-12,-3300.0,-45208.4,13.78888888888889,1.0
2020-01-13,3276.0,139967.11000000002,43.723571428571425,1.0
2020-01-14,660.0,15711.4,23.466,1.0
2020-01-15,800.0,25338.84,32.0275,1.0
2020-01-16,2200.0,94455.95,41.9564,1.0
2020-01-17,-850.0,-19784.5,23.065714285714286,1.0
2020-01-18,650.0,21559.239999999998,33.36125,1.0
2020-01-19,0.0,0.0,,
2020-01-20,0.0,0.0,,
2020-01-21,2067.0,182281.64,105.12068965517241,1.0
2020-01-22,952.0,116420.28,131.54076923076923,1.0
2020-01-23,3675.0,137769.95,37.384166666666665,1.0
2020-01-24,5130.0,211452.61,42.8476,1.0
2020-01-25,1300.0,53110.0,40.904375,1.0
2020-01-26,0.0,0.0,,
2020-01-27,880.0,25262.7,28.47888888888889,1.0
2020-01-28,2298.0,81500.54000000001,35.55117647058824,1.0
2020-01-29,0.0,0.0,,
2020-01-30,650.0,24036.0,35.16166666666667,1.0
2020-01-31,0.0,0.0,,
2020-02-01,0.0,0.0,,
2020-02-02,0.0,0.0,,
2020-02-03,400.0,28266.78,30.035714285714285,1.0
2020-02-04,1950.0,69650.63,34.94538461538462,1.0
2020-02-05,1500.0,61460.96,41.514117647058825,1.0
2020-02-06,600.0,21041.3,35.125,1.0
2020-02-07,955.0,40263.76,42.62692307692308,1.0
2020-02-08,0.0,0.0,,
2020-02-09,-2300.0,-3840.5,1.581,1.0
2020-02-10,-5349.0,39831.78,12.397733333333333,1.0
2020-02-11,0.0,0.0,,
2020-02-12,700.0,19658.11,28.25916666666667,1.0
2020-02-13,3500.0,163183.14,48.9075,1.0
2020-02-14,2600.0,122299.95,46.43333333333334,1.0
2020-02-15,596.0,15830.38,26.812,1.0
2020-02-16,-4520.0,140311.84,-34.4046511627907,1.0
2020-02-17,0.0,0.0,,
2020-02-18,500.0,14402.939999999999,29.715,1.0
2020-02-19,300.0,7518.0,25.1525,1.0
2020-02-20,500.0,16047.5,32.43,1.0
2020-02-21,1834.0,55421.71,33.533,1.0
2020-02-22,0.0,0.0,,
2020-02-23,-3500.0,-24788.76,7.751794871794871,1.0
2020-02-24,850.0,53178.9,68.59636363636363,1.0
2020-02-25,0.0,0.0,,
2020-02-26,300.0,9707.8,33.392,1.0
2020-02-27,3849.0,206337.55,49.921749999999996,1.0
2020-02-28,0.0,0.0,,
2020-02-29,-2400.0,-609.73,0.20119999999999996,1.0
2020-03-01,-3700.0,1569.25,-0.32606060606060605,1.0
2020-03-02,296.0,11692.0,39.5,1.0
2020-03-03,2860.0,166598.74,59.70515151515151,1.0
2020-03-04,1500.0,64165.04,42.931333333333335,1.0
2020-03-05,500.0,26498.0,52.996,1.0
2020-03-06,0.0,0.0,,
2020-03-07,0.0,0.0,,
2020-03-08,-2100.0,-11115.78,5.104666666666666,1.0
2020-03-09,2414.0,148472.08,61.50970588235294,1.0
2020-03-10,-2500.0,-27573.25,10.986206896551725,1.0
2020-03-11,493.0,14918.62,30.57875,1.0
2020-03-12,0.0,0.0,,
2020-03-13,-800.0,-16194.0,20.146,1.0
2020-03-14,0.0,0.0,,
2020-03-15,0.0,0.0,,
2020-03-16,3995.0,173638.65,43.35060606060606,1.0
2020-03-17,500.0,17358.5,34.717,1.0
2020-03-18,0.0,0.0,,
2020-03-19,0.0,0.0,,
2020-03-20,0.0,0.0,,
2020-03-21,-8100.0,32063.55,-4.3232911392405065,1.0
2020-03-22,-3200.0,48990.1,-16.15076923076923,1.0
2020-03-23,-1000.0,-11705.869999999999,11.695,1.0
2020-03-24,0.0,0.0,,
2020-03-25,0.0,0.0,,
2020-03-26,0.0,0.0,,
2020-03-27,0.0,0.0,,
2020-03-28,-24120.0,275519.79,-10.145917159763314,1.0414201183431953
2020-03-29,-11840.0,85717.07,-8.077878787878788,0.9166666666666666
2020-03-30,0.0,0.0,,
2020-03-31,0.0,0.0,,
2020-04-01,0.0,0.0,,
2020-04-02,2200.0,59637.65,27.66176470588235,1.0
2020-04-03,0.0,0.0,,
2020-04-04,-1400.0,-10330.65,7.479090909090909,1.0
2020-04-05,-33283.0,1448608.49,-30.687095709570958,1.0
2020-04-06,-2150.0,72640.09,-21.6825,1.0
2020-04-07,0.0,0.0,,
2020-04-08,0.0,0.0,,
2020-04-09,0.0,0.0,,
2020-04-10,-1700.0,-8678.95,5.055,1.0
2020-04-11,-3847.0,-5186.65,1.363076923076923,1.0
2020-04-12,-2275.0,-2112.75,1.0316666666666667,1.0
2020-04-13,-1710.0,70448.0,-44.00611111111111,1.0
2020-04-14,0.0,0.0,,
2020-04-15,0.0,0.0,,
2020-04-16,0.0,0.0,,
2020-04-17,1810.0,54960.8,24.835625,1.0
2020-04-18,-2700.0,-25775.57,9.338333333333333,1.0
2020-04-19,-10200.0,661332.72,-63.67651162790698,1.0
2020-04-20,-26680.0,1128919.86,-39.20307339449541,1.0
2020-04-21,-20913.5,981530.105,-41.99199074074074,1.0
2020-04-22,-26278.0,430832.76,-16.05135802469136,1.0
2020-04-23,-5400.0,-31867.55,14.19390625,1.0
2020-04-24,0.0,0.0,,
2020-04-25,-1200.0,-8366.0,6.355,1.0
2020-04-26,-8350.0,6392.85,-0.3476829268292683,1.0
2020-04-27,0.0,0.0,,
2020-04-28,0.0,0.0,,
2020-04-29,0.0,0.0,,
2020-04-30,-600.0,-8215.75,13.49375,1.0
2020-05-01,-3800.0,3882.3,-2.288823529411765,1.0
2020-05-02,-8450.0,-43470.95,5.050140845070422,1.0
2020-05-03,0.0,0.0,,
2020-05-04,687.0,31293.32,46.36,1.0
2020-05-05,0.0,0.0,,
2020-05-06,0.0,0.0,,
2020-05-07,-21394.0,169234.75,-7.657678571428572,1.0
2020-05-08,0.0,0.0,,
2020-05-09,-3000.0,-29715.6,9.6675,1.0
2020-05-10,-3126.0,-14121.26,3.19,1.0
2020-05-11,-39053.0,728655.59,-20.88031545741325,1.0
2020-05-12,0.0,0.0,,
2020-05-13,0.0,0.0,,
2020-05-14,0.0,0.0,,
2020-05-15,0.0,0.0,,
2020-05-16,-6150.0,-51009.5,8.260588235294119,1.0
2020-05-17,-9500.0,-39098.47,3.5074157303370788,1.0
2020-05-18,-13762.0,-103568.48,7.712125984251969,1.0
2020-05-19,-200.0,-2572.0,12.656666666666666,1.0
2020-05-20,-3000.0,-36634.57,12.268709677419354,1.0
2020-05-21,-2900.0,-34508.0,11.95875,1.0
