Trade ID,Start Time,End Time,Volume,Price,Cost,SO Flag
ES00000818,2015-05-30T12:00:00Z,2015-05-30T16:00:00Z,-160,9.2,-1472,T
ES00000819,2015-05-31T09:00:00Z,2015-06-01T06:00:00Z,-672,-72,48384,T
ES00000820,2015-05-31T09:00:00Z,2015-06-01T06:00:00Z,-525,-72,37800,T
ES00000821,2015-05-31T09:00:00Z,2015-06-01T06:00:00Z,-315,-72,22680,T
ES00000822,2015-05-31T12:00:00Z,2015-05-31T16:00:00Z,-160,10.2,-1632,T
ES00000823,2015-05-31T04:00:00Z,2015-05-31T07:00:00Z,-1500,10,-15000,F
ES00000824,2015-06-01T11:00:00Z,2015-06-02T18:00:00Z,-992,-72,71424,T
ES00000825,2015-06-01T22:00:00Z,2015-06-02T05:00:00Z,-1960,13.46,-26381.6,T
ES00000826,2015-06-01T22:00:00Z,2015-06-02T05:00:00Z,-700,13.46,-9422,T
ES00000827,2015-06-03T22:00:00Z,2015-06-04T05:00:00Z,-700,17.42,-12194,T
ES00000828,2015-06-03T22:00:00Z,2015-06-04T05:00:00Z,-350,27.34,-9569,T
ES00000829,2015-06-04T22:30:00Z,2015-06-04T23:00:00Z,500,39,19500,F
ES00000830,2015-06-06T22:30:00Z,2015-06-06T23:00:00Z,1400,25,35000,F
ES00000831,2015-06-06T22:30:00Z,2015-06-06T23:00:00Z,2600,25,65000,F
ES00000832,2015-06-05T22:30:00Z,2015-06-05T23:00:00Z,12000,36.4,436800,F
ES00000833,2015-06-06T12:00:00Z,2015-06-06T16:00:00Z,-480,10.3,-4944,T
ES00000834,2015-06-06T12:00:00Z,2015-06-06T16:00:00Z,-240,11,-2640,T
ES00000835,2015-05-16T22:00:00Z,2015-05-17T07:00:00Z,2070,63.6,131652,T
ES00000836,2015-05-26T22:30:00Z,2015-05-26T23:00:00Z,1840,63.6,117024,T
ES00000837,2015-05-17T22:30:00Z,2015-05-17T23:00:00Z,1840,63.6,117024,T
ES00000838,2015-05-19T22:30:00Z,2015-05-19T23:00:00Z,1840,63.6,117024,T
ES00000839,2015-05-29T22:00:00Z,2015-05-30T07:00:00Z,2070,63.6,131652,T
ES00000840,2015-05-19T22:30:00Z,2015-05-19T23:00:00Z,1840,63.6,117024,T
ES00000841,2015-05-16T22:00:00Z,2015-05-17T07:00:00Z,1971,72,141912,T
ES00000842,2015-05-16T22:00:00Z,2015-05-17T07:00:00Z,1971,72,141912,T
ES00000843,2015-05-15T22:00:00Z,2015-05-17T16:00:00Z,-1596,-77,122892,T
ES00000844,2015-05-15T22:30:00Z,2015-05-15T23:00:00Z,-320,11,-3520,T
ES00000845,2015-05-15T22:30:00Z,2015-05-15T23:00:00Z,-320,12.5,-4000,T
ES00000846,2015-05-17T22:00:00Z,2015-05-18T08:00:00Z,-2000,19.53,-39060,T
ES00000847,2015-05-17T22:00:00Z,2015-05-18T08:00:00Z,-1000,25.77,-25770,T
ES00000848,2015-05-18T22:30:00Z,2015-05-18T23:00:00Z,500,38.25,19125,F
ES00000849,2015-05-19T12:00:00Z,2015-05-19T13:00:00Z,250,38.66,9665,F
ES00000850,2015-05-19T13:00:00Z,2015-05-19T14:00:00Z,250,38.03,9507.5,F
ES00000851,2015-05-19T14:00:00Z,2015-05-19T15:00:00Z,250,38.59,9647.5,F
ES00000852,2015-05-19T22:00:00Z,2015-05-20T05:00:00Z,1190,76.5,91035,T
ES00000853,2015-09-11T22:30:00Z,2015-09-11T23:00:00Z,-440,21.71,-9552.4,F
ES00000854,2015-09-12T22:00:00Z,2015-09-13T08:00:00Z,-4600,18.6,-85560,T
ES00000855,2015-09-12T22:00:00Z,2015-09-13T08:00:00Z,-2300,16.24,-37352,T
